year,city,country,avg_temp
1849,San Diego,United States,16.03
1850,San Diego,United States,15.55
1851,San Diego,United States,15.66
1852,San Diego,United States,16.06
1853,San Diego,United States,16.69
1854,San Diego,United States,16.11
1855,San Diego,United States,16.31
1856,San Diego,United States,15.75
1857,San Diego,United States,16.41
1858,San Diego,United States,15.96
1859,San Diego,United States,15.64
1860,San Diego,United States,15.74
1861,San Diego,United States,16.82
1862,San Diego,United States,16.37
1863,San Diego,United States,16.1
1864,San Diego,United States,16.87
1865,San Diego,United States,16.18
1866,San Diego,United States,16.64
1867,San Diego,United States,16.99
1868,San Diego,United States,16.53
1869,San Diego,United States,16.3
1870,San Diego,United States,15.85
1871,San Diego,United States,16.13
1872,San Diego,United States,15.7
1873,San Diego,United States,15.81
1874,San Diego,United States,15.4
1875,San Diego,United States,16.3
1876,San Diego,United States,15.96
1877,San Diego,United States,16.49
1878,San Diego,United States,15.73
1879,San Diego,United States,15.81
1880,San Diego,United States,14.66
1881,San Diego,United States,15.77
1882,San Diego,United States,15.16
1883,San Diego,United States,15.83
1884,San Diego,United States,15.47
1885,San Diego,United States,16.51
1886,San Diego,United States,15.86
1887,San Diego,United States,15.74
1888,San Diego,United States,16.04
1889,San Diego,United States,16.38
1890,San Diego,United States,16.1
1891,San Diego,United States,15.86
1892,San Diego,United States,15.57
1893,San Diego,United States,15.45
1894,San Diego,United States,15
1895,San Diego,United States,15.66
1896,San Diego,United States,16.15
1897,San Diego,United States,15.57
1898,San Diego,United States,15.75
1899,San Diego,United States,15.78
1900,San Diego,United States,16.5
1901,San Diego,United States,16.03
1902,San Diego,United States,15.32
1903,San Diego,United States,15.74
1904,San Diego,United States,16.38
1905,San Diego,United States,15.92
1906,San Diego,United States,16.02
1907,San Diego,United States,15.74
1908,San Diego,United States,15.36
1909,San Diego,United States,15.35
1910,San Diego,United States,16.12
1911,San Diego,United States,15.43
1912,San Diego,United States,15.33
1913,San Diego,United States,15.41
1914,San Diego,United States,16.03
1915,San Diego,United States,15.68
1916,San Diego,United States,15.09
1917,San Diego,United States,15.65
1918,San Diego,United States,16.13
1919,San Diego,United States,15.55
1920,San Diego,United States,15.4
1921,San Diego,United States,15.74
1922,San Diego,United States,15.49
1923,San Diego,United States,15.66
1924,San Diego,United States,15.75
1925,San Diego,United States,16.02
1926,San Diego,United States,16.5
1927,San Diego,United States,15.84
1928,San Diego,United States,16.13
1929,San Diego,United States,16.16
1930,San Diego,United States,16.1
1931,San Diego,United States,17.08
1932,San Diego,United States,15.64
1933,San Diego,United States,15.19
1934,San Diego,United States,16.95
1935,San Diego,United States,15.82
1936,San Diego,United States,16.73
1937,San Diego,United States,15.99
1938,San Diego,United States,16.32
1939,San Diego,United States,16.46
1940,San Diego,United States,16.85
1941,San Diego,United States,16.37
1942,San Diego,United States,15.9
1943,San Diego,United States,16.56
1944,San Diego,United States,15.42
1945,San Diego,United States,15.84
1946,San Diego,United States,15.94
1947,San Diego,United States,16.36
1948,San Diego,United States,15.34
1949,San Diego,United States,15.56
1950,San Diego,United States,15.96
1951,San Diego,United States,15.82
1952,San Diego,United States,15.6
1953,San Diego,United States,16.05
1954,San Diego,United States,16.21
1955,San Diego,United States,15.57
1956,San Diego,United States,15.94
1957,San Diego,United States,16.29
1958,San Diego,United States,16.97
1959,San Diego,United States,17.3
1960,San Diego,United States,16.33
1961,San Diego,United States,16.23
1962,San Diego,United States,15.49
1963,San Diego,United States,16.2
1964,San Diego,United States,15.54
1965,San Diego,United States,15.73
1966,San Diego,United States,16.21
1967,San Diego,United States,16.21
1968,San Diego,United States,16.27
1969,San Diego,United States,16.18
1970,San Diego,United States,16.36
1971,San Diego,United States,15.58
1972,San Diego,United States,16.18
1973,San Diego,United States,15.51
1974,San Diego,United States,15.97
1975,San Diego,United States,15.16
1976,San Diego,United States,16.53
1977,San Diego,United States,16.36
1978,San Diego,United States,16.46
1979,San Diego,United States,16.29
1980,San Diego,United States,16.62
1981,San Diego,United States,17.01
1982,San Diego,United States,15.95
1983,San Diego,United States,16.8
1984,San Diego,United States,17.03
1985,San Diego,United States,16.13
1986,San Diego,United States,16.59
1987,San Diego,United States,16.19
1988,San Diego,United States,16.47
1989,San Diego,United States,16.5
1990,San Diego,United States,16.69
1991,San Diego,United States,16.13
1992,San Diego,United States,17.33
1993,San Diego,United States,16.86
1994,San Diego,United States,16.45
1995,San Diego,United States,16.85
1996,San Diego,United States,17.2
1997,San Diego,United States,17.46
1998,San Diego,United States,16.21
1999,San Diego,United States,16.18
2000,San Diego,United States,16.9
2001,San Diego,United States,16.37
2002,San Diego,United States,16.37
2003,San Diego,United States,17.1
2004,San Diego,United States,16.84
2005,San Diego,United States,16.93
2006,San Diego,United States,17.23
2007,San Diego,United States,16.8
2008,San Diego,United States,17.21
2009,San Diego,United States,17.03
2010,San Diego,United States,16.19
2011,San Diego,United States,16.26
2012,San Diego,United States,17.2
2013,San Diego,United States,17.18
